danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,class
0.6190,0.4640,9.0000,-9.8200,1.0000,0.0280,0.1500,0.8800,0.0791,0.5800,79.0330,206413.0000,0
0.5970,0.8690,11.0000,-3.4840,1.0000,0.0454,0.1070,0.0000,0.1180,0.4790,130.0240,259733.0000,0
0.5690,0.7430,9.0000,-4.6450,0.0000,0.0354,0.0011,0.0000,0.1130,0.4100,102.0120,222600.0000,0
0.8170,0.5990,0.0000,-9.2490,0.0000,0.0328,0.1320,0.0003,0.0873,0.5480,108.8730,245640.0000,0
0.6950,0.6950,2.0000,-6.6120,1.0000,0.0706,0.4890,0.0002,0.1310,0.4680,100.0210,189787.0000,0
0.6550,0.7260,9.0000,-4.6140,0.0000,0.0324,0.0587,0.0031,0.1450,0.2920,128.0010,209493.0000,0
0.8590,0.5310,7.0000,-7.5330,1.0000,0.3150,0.1420,0.0000,0.1150,0.3520,130.0850,206797.0000,0
0.4900,0.5970,11.0000,-8.1850,0.0000,0.3610,0.0468,0.0000,0.3210,0.3910,77.6620,358307.0000,0
0.6810,0.4840,1.0000,-9.9780,1.0000,0.0563,0.6410,0.0063,0.1150,0.6460,143.0440,210756.0000,0
0.7120,0.9870,11.0000,-6.5150,0.0000,0.2040,0.0037,0.3170,0.3450,0.3020,126.0810,165714.0000,0
0.8010,0.9930,1.0000,-4.2300,1.0000,0.0648,0.0033,0.8290,0.0338,0.8050,128.0090,322573.0000,0
0.8280,0.6860,11.0000,-5.6890,0.0000,0.2180,0.2730,0.0000,0.5240,0.6170,91.7130,319373.0000,0
0.7450,0.4530,9.0000,-9.6940,1.0000,0.0288,0.5930,0.0000,0.1730,0.5230,109.6160,331200.0000,0
0.3460,0.3350,7.0000,-12.4530,1.0000,0.0339,0.5750,0.0067,0.1850,0.2130,84.2040,478173.0000,0
0.6680,0.7250,1.0000,-6.1270,1.0000,0.2660,0.0102,0.0005,0.0561,0.7290,191.9440,210227.0000,0
0.5120,0.7540,0.0000,-6.0310,1.0000,0.0550,0.1350,0.0000,0.0881,0.3360,147.8900,201693.0000,0
0.6990,0.7640,11.0000,-6.6570,1.0000,0.0914,0.1910,0.0820,0.2560,0.6520,93.9970,229381.0000,0
0.8250,0.5120,7.0000,-11.7770,1.0000,0.0919,0.5260,0.0000,0.0862,0.9430,90.0410,290769.0000,0
0.5720,0.7540,1.0000,-4.1480,1.0000,0.0564,0.0949,0.0000,0.0985,0.4230,150.0680,240500.0000,0
0.5650,0.8850,10.0000,-4.9990,0.0000,0.0319,0.0086,0.1680,0.7100,0.5240,128.0440,154999.0000,0
0.6660,0.9360,7.0000,-9.9190,1.0000,0.0476,0.0024,0.0860,0.1530,0.7760,91.5770,282907.0000,0
0.5410,0.8560,2.0000,-7.7550,1.0000,0.0280,0.0000,0.0234,0.3580,0.2950,98.0150,410133.0000,0
0.8220,0.6540,1.0000,-7.2410,1.0000,0.2210,0.4040,0.0000,0.1150,0.4520,100.0330,163200.0000,0
0.4530,0.4310,2.0000,-10.3230,0.0000,0.0315,0.3730,0.0000,0.0867,0.1740,79.1880,321543.0000,0
0.7680,0.6270,9.0000,-6.8400,0.0000,0.0483,0.5900,0.0000,0.7410,0.7740,130.0610,289840.0000,0
0.6650,0.7990,6.0000,-2.8680,0.0000,0.0617,0.1800,0.0000,0.1250,0.5000,101.9760,228112.0000,0
0.7280,0.6760,1.0000,-5.1310,0.0000,0.1320,0.0069,0.0000,0.1010,0.3070,99.9720,196800.0000,0
0.6100,0.8420,6.0000,-5.1080,1.0000,0.0323,0.0117,0.1310,0.1440,0.2780,125.0500,190080.0000,0
